N,Cara,Cantidad,Frecuencia_relativa,Probabilidad_teorica,Error_absoluto
10,1,0,0.0,0.16666666666666666,0.16666666666666666
10,2,1,0.1,0.16666666666666666,0.06666666666666665
10,3,4,0.4,0.16666666666666666,0.23333333333333336
10,4,1,0.1,0.16666666666666666,0.06666666666666665
10,5,4,0.4,0.16666666666666666,0.23333333333333336
10,6,0,0.0,0.16666666666666666,0.16666666666666666
100,1,16,0.16,0.16666666666666666,0.006666666666666654
100,2,18,0.18,0.16666666666666666,0.013333333333333336
100,3,10,0.1,0.16666666666666666,0.06666666666666665
100,4,25,0.25,0.16666666666666666,0.08333333333333334
100,5,14,0.14,0.16666666666666666,0.026666666666666644
100,6,17,0.17,0.16666666666666666,0.003333333333333355
1000,1,180,0.18,0.16666666666666666,0.013333333333333336
1000,2,158,0.158,0.16666666666666666,0.008666666666666656
1000,3,160,0.16,0.16666666666666666,0.006666666666666654
1000,4,166,0.166,0.16666666666666666,0.0006666666666666488
1000,5,170,0.17,0.16666666666666666,0.003333333333333355
1000,6,166,0.166,0.16666666666666666,0.0006666666666666488
10000,1,1683,0.1683,0.16666666666666666,0.0016333333333333477
10000,2,1708,0.1708,0.16666666666666666,0.00413333333333335
10000,3,1621,0.1621,0.16666666666666666,0.004566666666666663
10000,4,1653,0.1653,0.16666666666666666,0.001366666666666655
10000,5,1676,0.1676,0.16666666666666666,0.0009333333333333416
10000,6,1659,0.1659,0.16666666666666666,0.0007666666666666655
100000,1,16639,0.16639,0.16666666666666666,0.0002766666666666473
100000,2,16710,0.1671,0.16666666666666666,0.0004333333333333411
100000,3,16459,0.16459,0.16666666666666666,0.002076666666666671
100000,4,16699,0.16699,0.16666666666666666,0.00032333333333334213
100000,5,16813,0.16813,0.16666666666666666,0.0014633333333333443
100000,6,16680,0.1668,0.16666666666666666,0.0001333333333333464
